TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xd40ca4f218f0,0x128,SymbolicLink,0xf0001,XENVIF#VEN_XS0001&DEV_NET&REV_0000000B#0#{cac88484-7515-4c03-82e6-71a87abac361}
0,4,System,0xac818dea7040,0x12c,Process,0x102a,System Pid 404
0,4,System,0xd40ca4cfe570,0x130,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\SERVICES\XENVIF\SETTINGS
0,4,System,0xd40ca4cff370,0x134,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\SERVICES\XENVIF\ADDRESSES
0,4,System,0xd40ca4cfea70,0x138,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\SERVICES\XENVIF\PARAMETERS
0,4,System,0xd40ca4f21080,0x13c,SymbolicLink,0xf0001,ACPI#PNP0501#1#{4d36e978-e325-11ce-bfc1-08002be10318}
0,4,System,0xac818dea7040,0x140,Process,0x102a,System Pid 404
0,4,System,0xac819168d080,0x144,Process,0x102a,System Pid 3036
0,4,System,0xac818df37310,0x148,ALPC Port,0x1f0001,SeRmCommandPort
0,4,System,0xd40ca49f9260,0x14c,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\CONTROL
0,4,System,0xd40ca4cfff70,0x150,Key,0x10,MACHINE\SYSTEM\CONTROLSET001\SERVICES\SWENUM\NOTIFY
0,4,System,0xd40ca4f20d20,0x154,SymbolicLink,0xf0001,ROOT#UMBUS#0000#{65a9a6cf-64cd-480b-843e-32c86e1ba19f}
0,4,System,0xd40ca4f21110,0x158,SymbolicLink,0xf0001,ROOT#SYSTEM#0000#{4747b320-62ce-11cf-a5d6-28db04c10000}
0,4,System,0xd40ca4f20e40,0x15c,SymbolicLink,0xf0001,ACPI#GenuineIntel_-_Intel64_Family_6_Model_79_-_Intel(R)_Xeon(R)_CPU_E5-2686_v4_@_2.30GHz#_0#{97fadb10-4e33-40ae-359c-8bef029dbdd0}
0,4,System,0xd40ca4f20420,0x160,SymbolicLink,0xf0001,ACPI#GenuineIntel_-_Intel64_Family_6_Model_79_-_Intel(R)_Xeon(R)_CPU_E5-2686_v4_@_2.30GHz#_0#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
0,4,System,0xd40ca4f213e0,0x164,SymbolicLink,0xf0001,XENBUS#VEN_XS0001&DEV_IFACE&REV_00000003#_#{b2cfb085-aa5e-47e1-8bf7-9793f3154565}
0,4,System,0xac818de9f070,0x168,File,0x120089,\Device\HarddiskVolume1\Windows\System32\drivers\en-US\ntfs.sys.mui
0,4,System,0xd40ca4f208a0,0x16c,SymbolicLink,0xf0001,ACPI#PNP0F13#4&1cf8b2b6&0#{378de44c-56ef-11d1-bc8c-00a0c91405dd}
0,4,System,0xd40ca4c7bd70,0x170,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\SERVICES\XENFILT\PARAMETERS
0,4,System,0xd40ca4c7ca70,0x174,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\SERVICES\XENBUS\PARAMETERS
0,4,System,0xd40ca4c7b470,0x178,Key,0x8,MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{0DA965DC-8FCF-4C0B-8EFE-8DD5E7BC959A}\{7E01ADEF-81E6-4E1B-8075-56F373584694}
0,4,System,0xd40ca4c7c370,0x17c,Key,0x8,MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{0AABB002-A307-447E-9B81-1D819DF6C6D0}\{CE74AA52-A71A-4036-BEEF-B6C411010E28}
0,4,System,0xd40ca496fb60,0x180,SymbolicLink,0xf0001,PCIIDE#IDEChannel#4&17497d5e&0&0#{2accfe60-c130-11d2-b082-00a0c91efb8b}
0,4,System,0xac818d49c520,0x184,Event,0x1f0003,LowMemoryCondition
0,4,System,0xd40ca4c7ba70,0x188,Key,0x8,MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{8BC6262C-C026-411D-AE3B-7E2F70811A13}\{C072EEBB-1955-4FA9-B4BA-421E96E1D674}
0,4,System,0xd40ca4c7bb70,0x18c,Key,0x8,MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{D4140C81-EBBA-4E60-8561-6918290359CD}\{35037BB4-9528-481D-8CB2-8FCC63A9DD81}
0,4,System,0xd40ca496fd10,0x190,SymbolicLink,0xf0001,PCIIDE#IDEChannel#4&17497d5e&0&1#{2accfe60-c130-11d2-b082-00a0c91efb8b}
0,4,System,0xd40ca4c7c770,0x194,Key,0x8,MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER\PROFILE\EVENTS\{54533251-82BE-4824-96C1-47B60B740D00}\{EE1E4F72-E368-46B1-B3C6-5048B11C2DBD}\{9C1F0DBA-33E9-43AF-9EDA-A607AA5139DA}
0,4,System,0xd40ca4970d60,0x198,SymbolicLink,0xf0001,XENBUS#VEN_XS0001&DEV_VBD&REV_00000001#_#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
0,4,System,0xd40ca4c7b970,0x19c,Key,0xb,MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\24
0,4,System,0xd40ca4c7cd70,0x1a0,Key,0xf003f,MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0
0,4,System,0xd40ca496f140,0x1a4,SymbolicLink,0xf0001,ROOT#spaceport#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0xd40ca4c7ce70,0x1a8,Key,0xb,MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\71
0,4,System,0xd40ca4970100,0x1ac,SymbolicLink,0xf0001,ROOT#spaceport#0000#{ef66a56f-88d1-4cd8-98c4-49faf57ad8af}
0,4,System,0xd40ca496a420,0x1b0,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\SERVICES\XENVBD
0,4,System,0xd40ca4c7bf70,0x1b4,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\SERVICES\XENVBD\PARAMETERS
0,4,System,0xac819008b6a0,0x1b8,TmRm,0x1f007f,
0,4,System,0xd40ca496ff50,0x1bc,SymbolicLink,0xf0001,ROOT#volmgr#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0xd40ca4f205d0,0x1c0,SymbolicLink,0xf0001,ACPI#GenuineIntel_-_Intel64_Family_6_Model_79_-_Intel(R)_Xeon(R)_CPU_E5-2686_v4_@_2.30GHz#_1#{97fadb10-4e33-40ae-359c-8bef029dbdd0}
0,4,System,0xac819006da30,0x1c4,File,0x13008b,\Device\HarddiskVolume1\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl
0,4,System,0xd40ca4c7c570,0x1c8,Key,0x10,MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
0,4,System,0xd40ca489f5e0,0x1cc,Directory,0xf000f,Harddisk0
0,4,System,0xac818dc8eaf0,0x1d0,TmRm,0x1f007f,
0,4,System,0xac818dc8e6d0,0x1d4,TmTm,0xf003f,
0,4,System,0xac818dafe8f0,0x1d8,FilterConnectionPort,0x1f0001,MicrosoftMalwareProtectionControlPortWD
0,4,System,0xac818dc8f050,0x1dc,TmRm,0x1f007f,
0,4,System,0xac818d45d080,0x1e0,Process,0x1440,System Pid 4
0,4,System,0xac818dafe9a0,0x1e4,FilterConnectionPort,0x1f0001,MicrosoftMalwareProtectionPortWD
0,4,System,0xac818dafed10,0x1e8,FilterConnectionPort,0x1f0001,MicrosoftMalwareProtectionVeryLowIoPortWD
0,4,System,0xac818dafea50,0x1ec,FilterConnectionPort,0x1f0001,MicrosoftMalwareProtectionRemoteIoPortWD
0,4,System,0xac818dafeb00,0x1f0,FilterConnectionPort,0x1f0001,MicrosoftMalwareProtectionAsyncPortWD
0,4,System,0xd40ca496a5e0,0x1f4,Key,0x10,MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
0,4,System,0xd40ca48436b0,0x1f8,Key,0x10,MACHINE\SYSTEM\CONTROLSET001\POLICIES
0,4,System,0xd40ca4806290,0x1fc,Token,0xf01ff,
0,4,System,0xd40ca496e8e0,0x200,SymbolicLink,0xf0001,STORAGE#Volume#{f13f7189-d455-11e9-8225-806e6f6e6963}#0000000000100000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0xd40ca4c7c070,0x204,Key,0x10,MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\ORDER
0,4,System,0xd40ca4c7c170,0x208,Key,0x10,MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\PROVIDERORDER
0,4,System,0xd40ca49fa920,0x20c,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\SERVICES\MUP
0,4,System,0xac819008b040,0x210,TmTm,0xf003f,
0,4,System,0xac818de5c040,0x218,Thread,0x1fffff,Tid 368 Pid 4
0,4,System,0xd40ca496d890,0x21c,SymbolicLink,0xf0001,SCSI#Disk&Ven_AWS&Prod_PVDISK#000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0xac818de5b040,0x220,Thread,0x1fffff,Tid 372 Pid 4
0,4,System,0xac819006d470,0x224,File,0x13008b,\Device\HarddiskVolume1\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderAuditLogger.etl
0,4,System,0xac818de89070,0x228,File,0x12019f,\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
0,4,System,0xac818de891e0,0x22c,File,0x12019f,\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
0,4,System,0xac818de88c20,0x230,File,0x12019f,\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
0,4,System,0xac818de9ed90,0x23c,File,0x1,\Device\HarddiskVolume1\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
0,4,System,0xac818dca1c70,0x24c,TmRm,0x1f007f,
0,4,System,0xac818dd0f8d0,0x250,TmTm,0xf003f,
0,4,System,0xac818dd118e0,0x254,TmRm,0x12007f,
0,4,System,0xd40ca4f204b0,0x258,SymbolicLink,0xf0001,ACPI#PNP0303#4&1cf8b2b6&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
0,4,System,0xd40ca496bca0,0x25c,Key,0x11,MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
0,4,System,0xd40ca4f20c90,0x260,SymbolicLink,0xf0001,ACPI#PNP0501#1#{86e0d1e0-8089-11d0-9ce4-08003e301f73}
0,4,System,0xd40ca4c7b370,0x264,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{221601AB-48C7-4970-B0EC-96E66F578407}
0,4,System,0xd40ca4c7cf70,0x268,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{FB9F5B62-B48B-45F5-8586-E514958C92E2}
0,4,System,0xd40ca4c7c270,0x26c,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{59AEE675-B203-4D61-9A1F-04518A20F359}
0,4,System,0xd40ca4f200c0,0x270,SymbolicLink,0xf0001,ROOT#SYSTEM#0000#{3c0d501a-140b-11d1-b40f-00a0c9223196}
0,4,System,0xd40ca4c7bc70,0x274,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{D73E01AC-F5A0-4D80-928B-33C1920C38BA}
0,4,System,0xd40ca4c7c470,0x278,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{A25AE4F2-1B96-4CED-8007-AA30E9B1A218}
0,4,System,0xac818dea7040,0x27c,Process,0x1fffff,System Pid 404
0,4,System,0xac8190166460,0x280,Event,0x1f0003,
0,4,System,0xd40ca49fa760,0x284,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\CONTROL
0,4,System,0xd40ca49f9960,0x288,Key,0x10,MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
0,4,System,0xd40ca4c4f1c0,0x28c,Section,0x6,
0,4,System,0xd40ca49f9b20,0x290,Key,0x10,MACHINE\SYSTEM\CONTROLSET001\SERVICES\DFSC\PARAMETERS
0,4,System,0xd40ca4cfee70,0x294,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\SERVICES\BAM\STATE\USERSETTINGS
0,4,System,0xac818dea7040,0x298,Process,0x102a,System Pid 404
0,4,System,0xac818daae040,0x29c,Thread,0x1fffff,Tid 396 Pid 4
0,4,System,0xac819008b950,0x2a0,TmRm,0x1f007f,
0,4,System,0xd40ca49fa840,0x2a4,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\CONTROL
0,4,System,0xd40ca496ba00,0x2a8,Key,0x10,MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
0,4,System,0xd40ca4f20b70,0x2ac,SymbolicLink,0xf0001,ACPI#GenuineIntel_-_Intel64_Family_6_Model_79_-_Intel(R)_Xeon(R)_CPU_E5-2686_v4_@_2.30GHz#_1#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
0,4,System,0xac81900e4140,0x2b0,Process,0x102a,System Pid 556
0,4,System,0xac818dfc58c0,0x2b4,File,0x12019f,\Device\Tcp
0,4,System,0xac8190082e80,0x2b8,File,0x12019f,\Device\HarddiskVolume1\Windows\bootstat.dat
0,4,System,0xd40ca4c7c870,0x2bc,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\CONTROL
0,4,System,0xd40ca4c7cc70,0x2c0,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\CONTROL
0,4,System,0xd40ca4cffc70,0x2c4,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\CONTROL
0,4,System,0xd40ca4cfe770,0x2c8,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\CONTROL
0,4,System,0xd40ca8274a70,0x2d4,Key,0xf003f,MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\NOTIFICATIONS
0,4,System,0xac8190084140,0x2d8,File,0x3,\Device\HarddiskVolume1\Windows\System32\config\SYSTEM.LOG1
0,4,System,0xac81900e4140,0x2dc,Process,0x102a,System Pid 556
0,4,System,0xac8190072080,0x2e0,Thread,0x1fffff,Tid 544 Pid 4
0,4,System,0xac818de9f7a0,0x2e4,File,0x13008b,\Device\HarddiskVolume1\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl
0,4,System,0xac8190081260,0x2e8,File,0x10003,\Device\HarddiskVolume1\Windows\System32\config\RegBack\SYSTEM
0,4,System,0xac819006de80,0x2f0,File,0x13008b,\Device\HarddiskVolume1\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderApiLogger.etl
0,4,System,0xac819006d750,0x2f4,File,0x13008b,\Device\HarddiskVolume1\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventlog-Security.etl
0,4,System,0xac8190081710,0x2fc,File,0x10003,\Device\HarddiskVolume1\Windows\System32\config\RegBack\SOFTWARE
0,4,System,0xac8190082840,0x308,File,0x3,\Device\HarddiskVolume1\Windows\System32\config\SYSTEM.LOG2
0,4,System,0xd40ca8274670,0x30c,Key,0xf003f,MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\NOTIFICATIONS\DATA
0,4,System,0xd40ca494c8d0,0x310,Section,0xf001f,Win32kCrossSessionGlobals
0,4,System,0xac8190166560,0x314,Event,0x1f0003,
0,4,System,0xd40ca497ff70,0x318,Key,0x9,MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS
0,4,System,0xac818df360a0,0x31c,Session,0x1,Session0
0,4,System,0xac81901ee080,0x320,Process,0x102a,System Pid 632
0,4,System,0xac8190084780,0x324,File,0x120089,\Device\HarddiskVolume1\Windows\System32\en-US\win32kbase.sys.mui
0,4,System,0xac8190162de0,0x328,Event,0x1f0003,
0,4,System,0xd40ca4f1f840,0x32c,Key,0x10,MACHINE\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\APPMODELUNLOCK
0,4,System,0xac81901623e0,0x330,Event,0x1f0003,
0,4,System,0xac8190162460,0x334,Event,0x1f0003,
0,4,System,0xac81901637e0,0x338,Event,0x1f0003,
0,4,System,0xac81900e4140,0x344,Process,0x1fffff,System Pid 556
0,4,System,0xd40ca8273470,0x348,Key,0x2,MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E968-E325-11CE-BFC1-08002BE10318}\0002
0,4,System,0xd40ca4c6c0f0,0x34c,Section,0x17,
0,4,System,0xac8190163ee0,0x350,Event,0x1f0003,
0,4,System,0xac81901632e0,0x354,Event,0x1f0003,
0,4,System,0xd40ca4ff8af0,0x358,SymbolicLink,0xf0001,PCI#VEN_1013&DEV_00B8&SUBSYS_00015853&REV_00#3&267a616a&1&10#{5b45201d-f2f2-4f3b-85bb-30ff1f953599}
0,4,System,0xac8190074080,0x35c,Thread,0x1fffff,Tid 584 Pid 4
0,4,System,0xd40ca4ff9800,0x360,SymbolicLink,0xf0001,PCI#VEN_1013&DEV_00B8&SUBSYS_00015853&REV_00#3&267a616a&1&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}
0,4,System,0xd40ca8274370,0x364,Key,0x2,MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E97D-E325-11CE-BFC1-08002BE10318}\0023
0,4,System,0xac818da8d480,0x368,Thread,0x1fffff,Tid 588 Pid 4
0,4,System,0xd40ca4848e70,0x36c,Section,0xf001f,PhysicalMemory
0,4,System,0xd40ca822df70,0x374,SymbolicLink,0xf0001,DISPLAY#Default_Monitor#4&15dba28b&0&UID0#{e6f07b5f-ee97-4a90-b076-33f57bf4eaa7}
0,4,System,0xd40ca822d940,0x378,SymbolicLink,0xf0001,DISPLAY#Default_Monitor#4&15dba28b&0&UID0#{866519b5-3f07-4c97-b7df-24c5d8a8ccb8}
0,4,System,0xd40ca4ff9ac0,0x37c,SymbolicLink,0xf0001,ROOT#BasicDisplay#0000#{5b45201d-f2f2-4f3b-85bb-30ff1f953599}
0,4,System,0xac8190089180,0x380,Thread,0x1fffff,Tid 592 Pid 4
0,4,System,0xd40ca4f1fca0,0x388,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96E-E325-11CE-BFC1-08002BE10318}\0001
0,4,System,0xd40ca4ffaf60,0x38c,SymbolicLink,0xf0001,ROOT#BasicRender#0000#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}
0,4,System,0xd40ca84a7630,0x390,Token,0xf01ff,
0,4,System,0xac81901ee080,0x394,Process,0x0,System Pid 632
0,4,System,0xd40ca81eece0,0x398,Directory,0x4,WindowStations
0,4,System,0xac8190ee8130,0x39c,WaitCompletionPacket,0x1,
0,4,System,0xac81901ee080,0x3a0,Process,0x102a,System Pid 632
0,4,System,0xd40ca49f2630,0x3a4,Token,0xf01ff,
0,4,System,0xac8190f8d2c0,0x3a8,Process,0x1fffff,System Pid 624
0,4,System,0xac8190fbcee0,0x3ac,Event,0x1f0003,
0,4,System,0xac8190fb5ec0,0x3b0,IoCompletion,0x1f0003,
0,4,System,0xac81901653e0,0x3b4,Event,0x1f0003,
0,4,System,0xac8190166860,0x3b8,Event,0x1f0003,
0,4,System,0xac8190166a60,0x3bc,Event,0x1f0003,
0,4,System,0xac818df36990,0x3c0,Session,0x1,Session1
